UPA,d1,t2_a1,t2_a2,t2_b1,t2_b2,t2_c1,t2_c2,t2_d1,t2_d2,t2_e1,t2_e2,t2_f1,t2_f2,t2_g1,t2_g2,t2_h1,t2_h2,d3,d4,do1,do2,do3,do4,do5,do6,do7,do8,di1,di2,di3,di4,di5,di6,di7,di8,bio_a,bio_b,bio_c,bio_d,bio_e,bio_f,bio_g,bio_h,bio_i,bio_j,bio_k,bio_l,bio_m,bio_n,info2,info3
290,No,,,,,,,,,,,,,,,,,Si,Comercializar la produccion,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,Si,Si,No,Si,Si,No,Si,Si,Si,Si,Si,No,, 
291,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
292,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
293,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
294,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
295,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Comercializar la produccion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
296,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
297,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
298,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,, 
299,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
300,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
301,No,,,,,,,,,,,,,,,,,Si,8,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,TRABAJADOR
302,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
303,No,,,,,,,,,,,,,,,,,Si,8,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
304,No,,,,,,,,,,,,,,,,,Si,8,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,HIJO
305,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
306,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Representacion,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,No,Si,No,No,Si,No,No,, 
307,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
308,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
309,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
310,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
311,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ESPOSA
312,Si,No,,No,,No,,No,,No,,Si,Poco,No,,No,,Si,Comercializar la produccion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
313,Si,No,,No,,No,,No,,Si,Nada,No,,No,,No,,Si,Comercializar la produccion,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
314,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Comercializar la produccion,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
315,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
316,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
317,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
318,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
319,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,Si,No,No,No,No,Si,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
320,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
321,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,Capacitacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
322,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
323,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
324,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
325,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
326,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,, 
327,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
328,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ESPOSA
329,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ESPOSA
330,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
331,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,No,, 
332,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
333,Si,No,,No,,No,,No,,No,,No,,No,,Si,Mucho,No,,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,, 
334,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
335,No,,,No,,No,,No,,No,,No,,No,,No,,Si,Representacion,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
336,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
337,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Representacion,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
338,No,,,,,,,,,,,,,,,,,Si,Representacion,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,HERMANO DE LA P.P
339,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Representacion,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
340,No,,,,,,,,,,,,,,,,,Si,Representacion,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,HERMANO DE LA P.P
341,No,,,No,,No,,No,,No,,No,,No,,No,,Si,Obtener cr_dito,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
342,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
343,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
344,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
345,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,Uso de maquinaria,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
346,Si,No,,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
347,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
348,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,Si,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
349,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
350,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
351,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
352,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
353,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
354,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
355,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,TRABAJADOR PERMANENTE
356,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
357,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
358,No,,,,,,,,,,,,,,,,,Si,Capacitacion,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
359,Si,No,,No,,No,,No,,Si,Mucho,Si,Mucho,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,Si,No,, 
360,Si,No,,No,,No,,No,,Si,Nada,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
361,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,, 
362,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,HERMANA
363,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,No,, 
364,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,HIJA
365,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
366,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,Representacion,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
367,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ADMINISTRADOR
368,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ADMINISTRADOR
369,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,Si,Mucho,Si,8,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,No,, 
370,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
371,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,HERMANA
372,Si,No,,No,,No,,No,,Si,Nada,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
373,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,HIJO- ADMINISTRADOR
374,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
375,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
376,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
377,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
378,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Obtener cr_dito,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,, 
379,Si,No,,No,,No,,No,,No,,No,,No,,Si,Mucho,Si,Representacion,No,No,Si,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Si,Si,No,No,Si,Si,Si,Si,Si,, 
380,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
381,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
382,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,VECINA
383,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
384,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,HIJO
385,Si,No,,No,,No,,No,,Si,Nada,No,,No,,No,,Si,Comercializar la produccion,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,HIJO
386,Si,No,,No,,No,,No,,No,,No,,No,,Si,Nada,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,HIJA
387,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
388,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
389,No,,,No,,No,,No,,No,,No,,No,,No,,Si,Representacion,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
390,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
391,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
392,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
393,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
394,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
395,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
396,Si,No,,No,,No,,No,,No,,No,,No,,Si,Mucho,Si,Comercializar la produccion,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
397,No,,,No,,No,,No,,No,,No,,No,,No,,Si,Representacion,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
398,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
399,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
400,Si,No,,No,,No,,No,,Si,Poco,No,,No,,Si,Poco,No,,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,Si,Si,Si,Si,No,No,No,Si,Si,Si,No,Si,, 
401,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
402,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,8,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
403,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
404,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
405,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
406,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
407,No,,,No,,No,,No,,Si,Mucho,No,,No,,No,,Si,Representacion,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
408,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
409,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,Si,8,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
410,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
411,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
412,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
413,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
414,Si,No,,No,,No,,No,,No,,No,,No,,Si,Mucho,Si,Representacion,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,Si,Si,No,No,Si,No,No,Si,Si,Si,Si,Si,, 
415,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
416,Si,No,,No,,No,,No,,Si,Mucho,No,,No,,Si,Mucho,Si,Comercializar la produccion,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,Si,Si,No,No,No,Si,Si,Si,Si,Si,No,, 
417,Si,No,,No,,No,,No,,Si,Nada,No,,No,,No,,Si,Representacion,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,Si,Si,Si,Si,Si,No,No,Si,Si,Si,Si,No,, 
418,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
419,Si,No,,No,,No,,No,,Si,Poco,No,,No,,No,,No,,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
420,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
421,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
422,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,ESPOSA
423,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
424,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
425,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,Si,No,No,No,No,No,No,No,Si,Si,No,Si,Si,Si,No,No,, 
426,Si,Si,Mucho,No,,No,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,Si,Si,No,Si,Si,No,Si,Si,Si,Si,Si,Si,, 
427,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
428,No,,,,,,,,,,,,,,,,,No,,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,HERMANA
429,No,,,,,,,,,,,,,,,,,No,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,, 
